rubrics_id  rubrics_number  mitt_number  page_number | observer_id  observer_alias - comment | frequency
528  777  90  324  |  56   Wolfer - uncertain | 1

529  778  90  325  |  117   Broger - uncertain | 19
529  778  90  325  |  117   Broger - * = Broger P | 1
529  778  90  325  |  117   Broger - * | 27

530  779  90  326  |  69   Winkler - uncertain | 4

534  783  90  330  |  77   Quimby - * = second instrument | 1
534  783  90  330  |  77   Quimby - * | 10

539  787  90  332  |  106   Mascari - uncertain | 2

548  866  94  108  |  117   Broger - * = P | 1
548  866  94  108  |  117   Broger - * | 15

550  868  94  110  |  69   Winkler - uncertain | 2
550  868  94  110  |  69   Winkler - ** = telescope 3 | 1
550  868  94  110  |  69   Winkler - ** | 8
550  868  94  110  |  69   Winkler - * = telescope 2 | 1
550  868  94  110  |  69   Winkler - * | 4

551  869  94  111  |  77   Quimby - * = P | 1
551  869  94  111  |  77   Quimby - * | 21

553  871  94  113  |  128   Gorjatschy - * = telescope 2 | 1
553  871  94  113  |  128   Gorjatschy - * | 33
553  871  94  113  |  128   Gorjatschy - ** = telescope 3 | 1
553  871  94  113  |  128   Gorjatschy - ** | 3

556  874  94  114  |  132   Guillaume - * = très mauvaise définition | 1
556  874  94  114  |  132   Guillaume - * | 3
556  874  94  114  |  132   Guillaume - uncertain | 1

557  875  94  115  |  133   Scharbe - B = W. Block | 1
557  875  94  115  |  133   Scharbe - B | 7
557  875  94  115  |  133   Scharbe - S = J. Sykora | 1
557  875  94  115  |  133   Scharbe - A = W. Abold | 1

561  879  94  117  |  136   Popow, Sykora-N-6ft - * = N. Sykora | 1
561  879  94  117  |  136   Popow, Sykora-N-6ft - * | 11
561  879  94  117  |  136   Popow, Sykora-N-6ft - N. Sykora  2 groups 20 sunspots | 1

568  883  94  120  |  106   Mascari - m = Mazarella | 1
568  883  94  120  |  106   Mascari - m | 8
568  883  94  120  |  106   Mascari - uncertain | 1

569  889  95  162  |  56   Wolfer - * = P | 1
569  889  95  162  |  56   Wolfer - * | 12
569  889  95  162  |  56   Wolfer - uncertain | 2

570  890  95  163  |  117   Broger - uncertain | 2
570  890  95  163  |  117   Broger - * = P | 1
570  890  95  163  |  117   Broger - * | 10

572  892  95  164  |  69   Winkler - * = telescope 2 | 1
572  892  95  164  |  69   Winkler - * | 2
572  892  95  164  |  69   Winkler - uncertain | 2

573  893  95  165  |  77   Quimby - * = P | 1
